Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,5.600000,5.720000,5.490000,5.490000,5.490000,68104
2021-04-09,5.500000,5.720000,5.500000,5.720000,5.720000,33376
2021-04-12,5.630000,5.650000,5.580000,5.630000,5.630000,41906
2021-04-13,5.650000,5.650000,5.570000,5.570000,5.570000,8382
2021-04-14,5.620000,5.650000,5.410000,5.600000,5.600000,147259
2021-04-15,5.650000,5.675000,5.575000,5.600000,5.600000,116043
2021-04-16,5.650000,5.660000,5.530000,5.600000,5.600000,106209
2021-04-19,5.570000,5.790000,5.570000,5.740000,5.740000,99713
2021-04-20,5.750000,6.040000,5.750000,6.000000,6.000000,101361
2021-04-21,5.950000,6.150000,5.950000,6.100000,6.100000,43460
2021-04-22,6.160000,6.330000,6.150000,6.280000,6.280000,47957
2021-04-23,6.400000,6.570000,6.240000,6.310000,6.310000,122918
2021-04-26,6.380000,6.380000,6.170000,6.170000,6.170000,54507
2021-04-27,6.280000,6.280000,6.110000,6.160000,6.160000,30347
2021-04-28,6.150000,6.250000,6.100000,6.130000,6.130000,57904
2021-04-29,6.150000,6.215000,6.020000,6.110000,6.110000,141363
2021-04-30,6.140000,6.280000,5.930000,6.000000,6.000000,148783
2021-05-03,6.000000,6.280000,6.000000,6.160000,6.160000,95459
2021-05-04,6.190000,6.190000,5.920000,5.970000,5.970000,64451
2021-05-05,6.170000,6.170000,5.890000,5.940000,5.940000,44072
2021-05-06,6.000000,6.140000,5.895000,5.990000,5.990000,19044
2021-05-07,6.000000,6.045000,5.900000,5.900000,5.900000,26330
2021-05-10,6.030000,6.030000,5.820000,5.840000,5.840000,34475
2021-05-11,5.820000,5.910000,5.780000,5.790000,5.790000,40038
2021-05-12,5.770000,5.970000,5.770000,5.900000,5.900000,48964
2021-05-13,5.890000,6.050000,5.840000,6.020000,6.020000,73537
2021-05-14,6.030000,6.150000,5.895000,6.150000,6.150000,94635
2021-05-17,6.150000,6.290000,6.085000,6.100000,6.100000,50194
2021-05-18,6.270000,6.280000,6.120000,6.170000,6.170000,68204
2021-05-19,6.300000,6.300000,6.160000,6.210000,6.210000,135518
2021-05-20,6.220000,6.250000,6.030000,6.190000,6.190000,21457
2021-05-21,6.190000,6.190000,6.020000,6.020000,6.020000,25830
2021-05-24,6.020000,6.220000,6.020000,6.190000,6.190000,90298
2021-05-25,6.240000,6.250000,6.080000,6.080000,6.080000,139207
2021-05-26,6.120000,6.275000,6.120000,6.200000,6.200000,55493
2021-05-27,6.250000,6.260000,6.170000,6.200000,6.200000,28880
2021-05-28,6.200000,6.300000,6.160000,6.240000,6.240000,21587
2021-05-31,6.300000,6.405000,6.240000,6.390000,6.390000,61369
2021-06-01,6.390000,6.490000,6.310000,6.430000,6.430000,82072
2021-06-02,6.490000,6.530000,6.250000,6.250000,6.250000,41064
2021-06-03,6.300000,6.470000,6.300000,6.410000,6.410000,44118
2021-06-04,6.420000,6.530000,6.390000,6.470000,6.470000,32844
2021-06-07,6.470000,6.630000,6.440000,6.500000,6.500000,64541
2021-06-08,6.540000,6.600000,6.450000,6.480000,6.480000,89002
2021-06-09,6.500000,6.510000,6.400000,6.500000,6.500000,70833
2021-06-10,6.500000,6.500000,6.390000,6.450000,6.450000,54853
2021-06-11,6.400000,6.440000,6.250000,6.360000,6.360000,85989
2021-06-15,6.370000,6.490000,6.370000,6.450000,6.450000,117445
2021-06-16,6.450000,6.500000,6.380000,6.450000,6.450000,105802
2021-06-17,6.370000,6.470000,6.370000,6.400000,6.400000,232000
2021-06-18,6.400000,6.550000,6.400000,6.500000,6.500000,113506
2021-06-21,6.480000,6.600000,6.460000,6.540000,6.540000,183595
2021-06-22,6.600000,6.890000,6.600000,6.740000,6.740000,160764
2021-06-23,6.800000,6.890000,6.630000,6.790000,6.790000,90862
2021-06-24,6.800000,6.890000,6.750000,6.800000,6.800000,102694
2021-06-25,6.800000,7.410000,6.740000,7.100000,7.100000,155283
2021-06-28,7.250000,7.250000,6.900000,6.950000,6.950000,65270
2021-06-29,6.920000,7.060000,6.845000,6.960000,6.960000,164268
2021-06-30,7.000000,7.100000,6.910000,7.090000,7.090000,367164
2021-07-01,7.090000,7.230000,6.790000,6.890000,6.890000,119579
2021-07-02,6.890000,6.890000,6.760000,6.820000,6.820000,95949
2021-07-05,7.000000,7.010000,6.660000,6.750000,6.750000,143456
2021-07-06,6.750000,6.780000,6.540000,6.570000,6.570000,164716
2021-07-07,6.550000,6.780000,6.450000,6.560000,6.560000,108905
2021-07-08,6.730000,6.950000,6.620000,6.630000,6.630000,61584
2021-07-09,6.990000,6.990000,6.550000,6.630000,6.630000,48181
2021-07-12,6.730000,6.730000,6.520000,6.630000,6.630000,57245
2021-07-13,6.990000,6.990000,6.560000,6.710000,6.710000,37906
2021-07-14,6.710000,6.850000,6.570000,6.730000,6.730000,102460
2021-07-15,6.870000,7.090000,6.820000,6.890000,6.890000,65225
2021-07-16,6.870000,6.920000,6.760000,6.830000,6.830000,68828
2021-07-19,6.830000,6.830000,6.700000,6.820000,6.820000,399809
2021-07-20,6.780000,7.000000,6.770000,6.960000,6.960000,57337
2021-07-21,6.990000,6.990000,6.790000,6.880000,6.880000,61081
2021-07-22,6.900000,7.000000,6.870000,6.940000,6.940000,717974
2021-07-23,6.940000,7.160000,6.910000,7.050000,7.050000,393724
2021-07-26,7.030000,7.400000,7.030000,7.380000,7.380000,98176
2021-07-27,7.380000,7.380000,7.210000,7.310000,7.310000,363257
2021-07-28,7.330000,7.390000,7.210000,7.270000,7.270000,75785
2021-07-29,7.300000,7.380000,7.240000,7.350000,7.350000,106105
2021-07-30,7.460000,7.490000,7.250000,7.330000,7.330000,68133
2021-08-02,7.550000,7.600000,7.400000,7.500000,7.500000,169581
2021-08-03,7.550000,7.550000,7.320000,7.350000,7.350000,174592
2021-08-04,7.450000,7.450000,7.290000,7.310000,7.310000,261710
2021-08-05,7.390000,7.480000,7.310000,7.470000,7.470000,127585
2021-08-06,7.470000,7.470000,7.330000,7.400000,7.400000,34634
2021-08-09,7.450000,7.540000,7.420000,7.500000,7.500000,148051
2021-08-10,7.550000,7.570000,7.440000,7.490000,7.490000,130099
2021-08-11,7.500000,7.730000,7.430000,7.500000,7.500000,196791
2021-08-12,7.650000,7.650000,7.430000,7.450000,7.450000,78408
2021-08-13,7.520000,7.550000,7.450000,7.500000,7.500000,251280
2021-08-16,7.650000,7.650000,7.400000,7.420000,7.420000,110958
2021-08-17,7.630000,7.630000,7.460000,7.500000,7.500000,103693
2021-08-18,7.630000,7.630000,7.510000,7.570000,7.570000,195313
2021-08-19,7.600000,7.695000,7.570000,7.610000,7.610000,149674
2021-08-20,7.700000,7.700000,7.100000,7.450000,7.450000,1018563
2021-08-23,7.490000,8.020000,7.360000,7.910000,7.910000,529896
2021-08-24,8.070000,8.280000,8.000000,8.240000,8.240000,379997
2021-08-25,8.260000,8.470000,8.200000,8.360000,8.360000,200241
2021-08-26,8.400000,8.410000,8.140000,8.320000,8.320000,130819
2021-08-27,8.340000,8.420000,8.230000,8.260000,8.260000,139312
